,text,edit_history_tweet_ids,author_id,created_at,id
0,"The Securities and Exchange Commission has charged seven Twitter users and a podcaster in an alleged $100 million stock manipulation scheme run through social media, the agency said Wednesday https://t.co/up2Fb71F9l",['1603155426144550919'],759251,2022-12-14T22:30:13.000Z,1603155426144550919
1,"With the implosion of Sam Bankman-Fried’s FTX dominating the headlines, celebrities who hawked cryptocurrency are now finding themselves under fresh legal scrutiny https://t.co/ZQYPyfpaEZ",['1603151618756775937'],759251,2022-12-14T22:15:05.000Z,1603151618756775937
2,This new gaming console is hackable and smaller than a credit card https://t.co/DFdxmoD4ID https://t.co/bA3xbbnttf,['1603147849746767872'],759251,2022-12-14T22:00:07.000Z,1603147849746767872
3,"A nurse at a Department of Veterans Affairs medical facility in Texas has sued the department over its decision to offer abortions services in certain cases and abortion counseling to veterans, claiming the new rules violate her religious beliefs https://t.co/vgJ52UbUXf",['1603144064370622466'],759251,2022-12-14T21:45:04.000Z,1603144064370622466
4,NASA meteor astronomer Peter Jenniskens explains everything you need to know about meteor showers https://t.co/eDDGOdIB9U,['1603140300985311232'],759251,2022-12-14T21:30:07.000Z,1603140300985311232
5,"Over the past few weeks journalists picked by Elon Musk have been given access to some of Twitter's internal systems - releasing what they're calling ""The Twitter Files."" CNN's @donie reports. Watch here: https://t.co/VCyeQIpSFl",['1603139748989923329'],759251,2022-12-14T21:27:55.000Z,1603139748989923329
6,"Humans’ ability to walk upright on two legs may have evolved in trees, rather than on the ground, according to scientists studying wild chimpanzees in Tanzania https://t.co/Zw9WeZIu45",['1603136541571751936'],759251,2022-12-14T21:15:11.000Z,1603136541571751936
7,JUST IN: France has ended Morocco's dream run to become the first defending World Cup champion to reach the final in two decades. Messi and Argentina await https://t.co/8cDwxGt9zN https://t.co/cNvhXVFaOt,['1603135878913662977'],759251,2022-12-14T21:12:33.000Z,1603135878913662977
8,"The James Webb Space Telescope has captured a unique perspective of the universe, including never-before-seen galaxies that glitter like diamonds in the cosmos https://t.co/gt7DSP7wlZ",['1603132779117809665'],759251,2022-12-14T21:00:13.000Z,1603132779117809665
9,"Stephen “tWitch” Boss, the amiable DJ for “Ellen DeGeneres Show” and dancer who rose to fame on “So You Think You Can Dance,” has died, according to information from the Los Angeles County Coroner https://t.co/SYJziAR5V1 https://t.co/0GqtDmGvSe",['1603128975462916096'],759251,2022-12-14T20:45:07.000Z,1603128975462916096
10,17-year-old Sandy Hook Elementary School shooting survivor Cyrena Arokium speaks with @PoppyHarlowCNN ten years after the shooting that left 20 first-graders and six adults dead. Watch here: https://t.co/hJWffx0kBW,['1603127811975262208'],759251,2022-12-14T20:40:29.000Z,1603127811975262208
11,Attention procrastinators: Drop-dead holiday shipping deadlines are coming soon https://t.co/PaVIroA8Jc,['1603125223498256384'],759251,2022-12-14T20:30:12.000Z,1603125223498256384
12,"Hear Dr. Anthony Fauci respond to Florida Gov. Ron DeSantis’ call for an investigation into ""any and all wrongdoing in Florida with respect to Covid-19 vaccines.” https://t.co/RwMKf5mXyd",['1603123015969300480'],759251,2022-12-14T20:21:26.000Z,1603123015969300480
13,Twitter has suspended an account that tracked the location of Elon Musk’s private jet https://t.co/0wC5bNz3HI,['1603121160543092736'],759251,2022-12-14T20:14:03.000Z,1603121160543092736
14,"10-years after the shootings at Sandy Hook Elementary School, learn how these parents turned their pain into power. Sandy Hook – Forever Remembered airs tonight at 10 p.m. ET https://t.co/CrHITy6Hzt",['1603117680776871936'],759251,2022-12-14T20:00:14.000Z,1603117680776871936
15,President Joe Biden welcomes nearly 50 leaders from Africa on Wednesday for a summit intended to reset Washington’s commitment to a region where China and Russia are also working to expand their influence https://t.co/mDCcWnzGwf,['1603113888924721152'],759251,2022-12-14T19:45:10.000Z,1603113888924721152
16,Patty Jenkins has some things she would like to clear up https://t.co/yZW5qIEVSV,['1603110143457050625'],759251,2022-12-14T19:30:17.000Z,1603110143457050625
17,How the climate crisis may be changing the way tornadoes behave https://t.co/U7GNFy0xbh,['1603106324241227776'],759251,2022-12-14T19:15:06.000Z,1603106324241227776
18,JUST IN: The Fed has raised interest rates by half a point -- a less aggressive stance from previous hikes as signs emerge that inflation is easing https://t.co/raqYR19LIp https://t.co/LxSXxJ1mKY,['1603106149280411649'],759251,2022-12-14T19:14:24.000Z,1603106149280411649
19,"The Washington Post will conduct targeted layoffs in the coming year as it reorients itself for the future and reinvests in other areas, publisher Fred Ryan told staffers in a contentious town hall Wednesday, people familiar with the matter told CNN https://t.co/mfbLtJkWcP",['1603103052998664193'],759251,2022-12-14T19:02:06.000Z,1603103052998664193
